"UrbanRural","Income","Race","Expenditure","KidsCount","LogIncome","LogExpenditure"
1,73720,1,12594.2333409583,3,11.2080294117838,10.2234673949179
1,12000,1,5328.9888283921,2,9.39266192877014,8.91132768318202
1,20000,1,4292.54247022568,0,9.90348755253613,9.06038920683045
1,130500,1,3485.22798505144,0,11.7791285057449,9.92477192464331
1,99000,2,9681.95209783845,0,11.5028751291167,9.21981037957181
1,18240,1,13882.2703139665,0,9.81137226362832,9.16876288380912
1,164433,1,34975.1603843561,0,12.0102584713877,10.260287488663
1,35000,1,8921.4531840134,1,10.4631033404715,9.31609581863849
1,24000,1,9343.36275174862,0,10.0858091093301,8.37366918133019
1,95000,1,12450.8650518916,0,11.4616321705827,9.32589872151914
1,94439,2,11156.1591105116,0,11.4557094024098,10.4289997949975
1,68291,1,18143.8390725746,0,11.1315332652803,8.93918103096222
1,14424,1,3825.51475271774,5,9.57664876488315,8.79497643168877
1,23580,2,8985.19730140571,1,10.0681541740914,8.97341477051472
1,56000,1,7140.06666281492,0,10.9331069697173,9.21734081162093
1,11000,1,38898.6710123856,0,9.30565055178051,8.58307457925459
1,32772,1,6790.71521836097,0,10.3973297712617,8.8303968010981
1,18234,1,45043.7014553824,0,9.81104326214485,8.35019365072007
2,3252,1,1431.86233153347,0,8.0870254706677,9.02530513648454
1,61089,1,7259.85400900965,0,11.0200870962186,9.40756284824891
1,208854,1,15841.9984572476,1,12.2493907222437,10.2569497566487
1,96000,1,25281.1207347628,2,11.47210347045,9.72465987901736
1,145200,1,43249.6940023087,0,11.8858673813728,10.2609346178124
1,42000,1,8571.90275381812,0,10.6454248972655,9.24176636197604
2,17210,1,1953.25574965258,0,9.75324588920559,8.51458980554612
1,75002,1,6120.33857368664,0,11.2252700588296,9.40956002336472
1,12000,1,2520.75433146744,0,9.39266192877014,8.90422273736872
1,42702,1,6746.96983662772,0,10.6620010365273,9.36853998664973
1,62000,1,5850.77376568428,0,11.0348896640272,8.70080558139311
1,75000,2,8475.02357514977,0,11.2252433925184,9.15265830222888
1,43325,1,17008.2711263094,0,10.6764851145838,9.14483072344701
2,74316,1,8388.80416211887,0,11.2160815507261,9.9160088330898
1,80000,1,9224.28669706777,2,11.289781913656,9.58562114890703
